ro_gr1,h_gr1,m_gs1,rbar_ag1,rinit_ag1,rho_gr1,vartheta_gr1,bo,sbo,q1,q2,SSB1,sel_g1,sel_sd1,sel_g2,sel_sd2,sel_g3,sel_sd3,sel_g4,sel_sd4,sel_g5,sel_sd5,f
654.156,0.693351,0.583467,383.166,221.629,0.315426,1.24153, 31.2518, 51.1771,0.749609,0.995789,13.4024,2.44611,0.172829,3.00154,0.326127,4.72198,0.469501,2.055,0.05,2.055,0.05,-656.55
491.635,0.711928,0.55349,308.909,160.357,0.303042,1.4236, 32.0421, 48.2242,0.951531,0.99914,14.9453,2.51296,0.193876,2.95359,0.312403,4.88168,0.510559,2.055,0.05,2.055,0.05,-673.984
455.534,0.791546,0.616317,357.654,138.718,0.347204,1.41806, 30.6962, 39.0585,0.874996,0.995899,22.2642,2.56623,0.219517,2.89122,0.296063,4.8442,0.458375,2.055,0.05,2.055,0.05,-652.921
495.55,0.702023,0.556233,358.443,96.4203,0.307571,1.38807, 31.4107, 43.0595,0.801449,0.996068,17.5209,2.72811,0.263003,2.9577,0.311207,4.81797,0.500683,2.055,0.05,2.055,0.05,-665.727
663.252,0.669486,0.600487,368.561,126.052,0.326106,1.23413, 56.098, 59.9333,0.766068,0.994371,27.7419,2.50934,0.191862,2.98803,0.325172,4.71567,0.45603,2.055,0.05,2.055,0.05,-652.121
764.991,0.669357,0.694739,394.171,444.703,0.314109,1.20695, 50.7976, 62.0737,0.757452,0.997941,18.4435,2.69301,0.240888,2.95168,0.313611,4.57681,0.388519,2.055,0.05,2.055,0.05,-643.458
601.637,0.672789,0.5416,330.978,177.383,0.376968,1.28507, 31.7602, 55.8145,0.960772,0.990945,13.4323,2.73895,0.24913,2.96248,0.32055,4.68447,0.446422,2.055,0.05,2.055,0.05,-657.205
632.805,0.758783,0.507195,362.331,165.151,0.299586,1.28553, 34.2679, 56.097,0.807285,0.995505,16.3369,2.64754,0.238658,2.96733,0.319154,4.68373,0.448053,2.055,0.05,2.055,0.05,-654.631
447.772,0.74477,0.710138,354.428,121.612,0.37995,1.33668, 29.4962, 40.1951,0.87575,1.01101,27.1272,2.68054,0.255639,2.91799,0.294595,4.7878,0.477542,2.055,0.05,2.055,0.05,-632.045
463.567,0.809233,0.833151,392.093,204.397,0.3811,1.48502, 27.6585, 36.7547,0.720306,1.02217,18.8655,2.58762,0.214983,2.94781,0.301195,4.79855,0.48993,2.055,0.05,2.055,0.05,-659.906
