B0 MSY Fmsy Bmsy BT projSpawnBio projExpBio depB0 depBmsy
81.4704 3.2038 0.0786495 40.7352 29.6241 30.9565 30.9565 0.363401 0.726803
80.2244 3.14564 0.078421 40.1122 25.1598 26.2353 26.2353 0.312186 0.624372
80.0139 3.14748 0.0786733 40.007 21.0951 21.9063 21.9063 0.267686 0.535371
80.9835 3.08463 0.0761793 40.4917 13.8821 14.0015 14.0015 0.185582 0.371164
81.1137 3.07313 0.0757734 40.5569 9.02548 8.60805 8.60805 0.100558 0.201116
84.0846 3.01266 0.0716579 42.0423 0.321701 0.306242 0.306242 0.00367167 0.00734335
84.3054 3.03812 0.0720742 42.1527 21.6805 22.369 22.369 0.289723 0.579445
82.0686 3.00243 0.0731688 41.0343 16.9197 17.2522 17.2522 0.188527 0.377054
83.0634 3.0809 0.0741819 41.5317 26.5851 27.6339 27.6339 0.319872 0.639743
88.2573 2.97501 0.0674168 44.1286 22.1213 22.7233 22.7233 0.263464 0.526929
88.149 2.90334 0.0658734 44.0745 16.4669 16.598 16.598 0.165455 0.330911
92.6529 2.94043 0.0634718 46.3265 27.3176 28.1299 28.1299 0.312501 0.625001
93.8936 2.87465 0.0612321 46.9468 21.2427 21.6226 21.6226 0.222574 0.445148
92.387 2.90835 0.0629602 46.1935 27.2768 28.0644 28.0644 0.312809 0.625617
89.4138 2.98725 0.0668185 44.7069 21.5593 22.1127 22.1127 0.260461 0.520921
89.0185 2.95679 0.0664309 44.5092 3.34516 2.13988 2.13988 0.0254731 0.0509463
90.8742 2.97174 0.0654034 45.4371 10.7622 10.3702 10.3702 0.107029 0.214058
88.5979 2.98389 0.067358 44.299 7.53159 6.82694 6.82694 0.0747781 0.149556
86.097 2.91084 0.0676177 43.0485 7.40358 6.68569 6.68569 0.0802503 0.160501
86.097 2.91084 0.0676177 43.0485 7.40358 6.68569 6.68569 0.0747141 0.149428
87.9128 2.93377 0.0667428 43.9564 20.108 20.5451 20.5451 0.196339 0.392678
87.9344 2.91072 0.0662021 43.9672 17.1314 17.3248 17.3248 0.17979 0.35958
91.3646 2.92691 0.064071 45.6823 9.00161 8.40843 8.40843 0.0815261 0.163052
92.0561 2.93842 0.0638397 46.0281 22.1728 22.6889 22.6889 0.242966 0.485932
91.6121 2.94098 0.0642051 45.806 20.9793 21.4233 21.4233 0.230257 0.460514
92.7788 2.90886 0.0627053 46.3894 26.8316 27.5904 27.5904 0.297085 0.59417
92.7788 2.90886 0.0627053 46.3894 26.8316 27.5904 27.5904 0.294649 0.589297
